Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,Average_score
1,0.0,3.0,1,0.0,1.0,2.0,1.0,3.0,0.0,0.0,216
1,2.0,1.0,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,247
1,3.0,4.0,1,0.0,0.0,1.0,1.0,4.0,0.0,0.0,271
0,4.0,2.0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,143
0,2.0,1.0,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,229
1,3.0,2.0,1,0.0,1.0,2.0,1.0,1.0,0.0,1.0,236
1,3.0,1.0,1,1.0,3.0,0.0,0.0,1.0,1.0,1.0,267
0,3.0,1.0,0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,123
0,1.0,0.0,0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,197
1,3.0,0.0,0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,146
0,2.0,2.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,164
0,1.0,2.0,1,0.0,2.0,1.0,1.0,1.0,0.0,1.0,135
1,3.0,0.0,1,0.0,1.0,2.0,0.0,1.0,1.0,1.0,222
0,4.0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,2.0,224
1,4.0,4.0,1,0.0,2.0,1.0,1.0,2.0,1.0,0.0,159
1,2.0,0.0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,222
0,2.0,0.0,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,263
1,3.0,0.0,0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,78
0,2.0,4.0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,135
1,2.0,2.0,0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,164
0,1.0,0.0,1,0.0,1.0,1.0,1.0,5.0,0.0,1.0,198
1,3.0,1.0,0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,210
0,1.0,0.0,1,0.0,1.0,0.0,1.0,5.0,0.0,1.0,146
1,2.0,0.0,1,0.0,2.0,0.0,0.0,3.0,0.0,1.0,208
0,1.0,0.0,0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,225
0,4.0,4.0,0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,227
0,3.0,1.0,1,0.0,1.0,1.0,1.0,5.0,0.0,0.0,172
1,2.0,3.0,1,0.0,1.0,1.0,1.0,4.0,0.0,2.0,215
0,2.0,0.0,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,205
1,1.0,1.0,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,210
1,3.0,1.0,1,0.0,0.0,1.0,1.0,5.0,0.0,1.0,189
1,0.0,4.0,0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,195
0,0.0,1.0,1,0.0,1.0,1.0,0.0,2.0,1.0,1.0,120
0,0.0,1.0,1,0.0,2.0,1.0,1.0,0.0,0.0,0.0,266
0,0.0,2.0,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,241
1,1.0,2.0,1,0.0,1.0,2.0,0.0,2.0,1.0,1.0,243
1,1.0,0.0,0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,175
1,1.0,2.0,0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,258
0,3.0,2.0,0,0.0,0.0,2.0,1.0,5.0,0.0,1.0,172
0,2.0,2.0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,165
1,2.0,2.0,1,0.0,2.0,2.0,0.0,1.0,0.0,1.0,202
0,3.0,1.0,0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,192
1,0.0,2.0,0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,155
0,3.0,2.0,1,0.0,0.0,1.0,1.0,3.0,0.0,0.0,171
1,2.0,0.0,1,0.0,1.0,2.0,1.0,0.0,1.0,1.0,216
0,2.0,0.0,1,1.0,1.0,1.0,0.0,3.0,0.0,1.0,248
0,0.0,1.0,1,0.0,1.0,0.0,0.0,3.0,0.0,2.0,157
0,0.0,2.0,0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,212
0,2.0,1.0,1,0.0,2.0,2.0,1.0,3.0,0.0,2.0,144
0,1.0,0.0,1,0.0,0.0,1.0,1.0,2.0,0.0,1.0,241
1,0.0,0.0,0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,251
1,2.0,0.0,0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,117
1,0.0,2.0,1,1.0,1.0,1.0,1.0,3.0,0.0,2.0,257
0,1.0,2.0,1,0.0,0.0,1.0,0.0,2.0,1.0,1.0,156
0,1.0,0.0,1,1.0,1.0,2.0,0.0,1.0,1.0,2.0,181
1,2.0,0.0,0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,27
0,4.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,112
0,4.0,2.0,0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,178
1,1.0,0.0,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,176
0,3.0,0.0,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,183
0,1.0,0.0,0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,119
1,2.0,1.0,1,0.0,1.0,2.0,0.0,3.0,0.0,1.0,209
0,3.0,2.0,0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,177
1,2.0,2.0,1,0.0,0.0,1.0,1.0,3.0,0.0,1.0,160
0,1.0,1.0,1,1.0,2.0,1.0,1.0,3.0,1.0,2.0,183
1,4.0,2.0,0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,142
0,2.0,0.0,0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,169
0,2.0,0.0,1,0.0,1.0,1.0,1.0,2.0,1.0,0.0,135
0,3.0,2.0,0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,123
0,0.0,0.0,1,0.0,0.0,1.0,0.0,5.0,0.0,1.0,74
0,4.0,0.0,1,1.0,0.0,2.0,1.0,0.0,0.0,1.0,244
1,1.0,0.0,1,1.0,2.0,1.0,1.0,2.0,0.0,2.0,210
1,0.0,4.0,1,0.0,2.0,0.0,1.0,1.0,0.0,1.0,196
1,3.0,2.0,1,0.0,1.0,2.0,1.0,0.0,1.0,2.0,151
0,3.0,0.0,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,139
0,4.0,1.0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,151
0,0.0,2.0,1,0.0,1.0,2.0,1.0,0.0,1.0,1.0,202
0,1.0,0.0,0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,111
1,2.0,1.0,1,0.0,2.0,1.0,1.0,0.0,1.0,1.0,235
1,2.0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,240
1,1.0,2.0,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,216
1,4.0,1.0,1,0.0,2.0,2.0,1.0,3.0,0.0,0.0,193
1,1.0,0.0,1,0.0,0.0,1.0,1.0,0.0,1.0,2.0,245
0,2.0,0.0,0,0.0,2.0,2.0,0.0,4.0,0.0,1.0,97
0,2.0,0.0,1,0.0,2.0,1.0,0.0,1.0,0.0,0.0,214
0,2.0,2.0,0,1.0,1.0,2.0,0.0,3.0,1.0,2.0,143
1,3.0,1.0,1,0.0,1.0,2.0,1.0,4.0,1.0,1.0,262
0,3.0,0.0,1,1.0,1.0,2.0,1.0,5.0,0.0,1.0,189
1,0.0,1.0,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,194
1,1.0,1.0,0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,194
1,1.0,3.0,1,0.0,1.0,2.0,1.0,3.0,0.0,0.0,192
0,3.0,1.0,1,0.0,1.0,1.0,0.0,7.0,0.0,1.0,213
0,1.0,3.0,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,216
1,1.0,2.0,1,0.0,1.0,2.0,1.0,3.0,0.0,1.0,270
0,3.0,0.0,1,1.0,1.0,2.0,0.0,3.0,0.0,1.0,153
0,0.0,1.0,1,1.0,1.0,2.0,1.0,1.0,0.0,2.0,282
1,2.0,1.0,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,197
1,1.0,4.0,1,0.0,1.0,1.0,0.0,3.0,1.0,1.0,287
0,0.0,0.0,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,193
1,3.0,2.0,0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,198
1,3.0,0.0,1,0.0,0.0,2.0,0.0,3.0,0.0,1.0,209
1,1.0,2.0,0,1.0,0.0,1.0,1.0,4.0,0.0,2.0,268
0,2.0,0.0,1,0.0,0.0,2.0,0.0,6.0,0.0,1.0,168
0,4.0,2.0,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,154
1,1.0,1.0,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,154
1,0.0,3.0,1,1.0,1.0,2.0,1.0,3.0,0.0,0.0,297
0,2.0,0.0,1,0.0,1.0,1.0,1.0,4.0,1.0,1.0,235
1,3.0,3.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,234
1,1.0,3.0,1,0.0,1.0,0.0,0.0,2.0,1.0,1.0,232
1,1.0,0.0,1,0.0,0.0,2.0,1.0,0.0,1.0,2.0,181
1,2.0,1.0,1,0.0,2.0,1.0,0.0,3.0,0.0,1.0,189
1,2.0,3.0,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,252
0,3.0,2.0,1,1.0,1.0,1.0,1.0,3.0,0.0,0.0,265
1,2.0,1.0,1,1.0,0.0,2.0,1.0,1.0,0.0,1.0,279
0,1.0,0.0,0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,176
0,0.0,1.0,1,0.0,0.0,2.0,0.0,3.0,0.0,0.0,234
1,3.0,0.0,1,0.0,0.0,0.0,1.0,2.0,0.0,2.0,265
0,3.0,0.0,1,0.0,1.0,0.0,0.0,3.0,1.0,1.0,207
0,1.0,1.0,1,0.0,1.0,2.0,0.0,3.0,0.0,0.0,214
0,1.0,4.0,1,0.0,0.0,0.0,1.0,2.0,1.0,0.0,230
1,4.0,3.0,1,0.0,0.0,2.0,1.0,0.0,0.0,1.0,153
0,1.0,4.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,253
0,2.0,0.0,0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,128
